Timestamp,X,Y,Z,Left_X,Left_Y,Left_Z,Left_ROLL,Left_YAW,Left_PITCH,Right_X,Right_Y,Right_Z,Right_ROLL,Right_YAW,Right_PITCH
1.21,0.0542438686564139,-0.0794342744084164,0.55,0.217593941178896,0.1262158855,0.0625713286130779,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.22,0.0567353694879525,-0.0772868759885429,0.55,0.221644327327524,0.1262158855,0.0583820741357768,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.23,0.0593391041223651,-0.075026316788958,0.55,0.225410840685054,0.1262158855,0.0540975260308205,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.24,0.0620593051054894,-0.0726482607362886,0.55,0.22888802816646,0.1262158855,0.0497456726364015,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.25,0.0649004352231731,-0.0701481881710471,0.55,0.232072364454912,0.1262158855,0.0453561016243232,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.26,0.0678671773700955,-0.0675213891240692,0.55,0.2349623591,0.1262158855,0.04096,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.27,0.0709644238881823,-0.0647629676666151,0.55,0.237558663615975,0.1262158855,0.0365901541024573,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.28,0.0741972667347771,-0.0618678511689735,0.55,0.239864178579978,0.1262158855,0.0322809496043315,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.29,0.0775709994060354,-0.0588307891804341,0.55,0.241884160730273,0.1262158855,0.0280683715118701,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.3,0.081091156712357,-0.0556463117515966,0.55,0.243626330064479,0.1262158855,0.0239900041649313,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.31,0.0847636356804876,-0.052308599552078,0.55,0.245100976937806,0.1262158855,0.0200850312369846,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.32,0.088594948240531,-0.0488112107710979,0.55,0.246321069161284,0.1262158855,0.0163942357351104,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.33,0.0925926285896534,-0.0451466401300133,0.55,0.2473023591,0.1262158855,0.01296,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.34,0.0967657140678702,-0.0413057981312586,0.55,0.248063490771327,0.1262158855,0.00982630570595586,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.35,0.101124989981159,-0.0372777461138293,0.55,0.24862610694316,0.1262158855,0.00703873386089129,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.36,0.105682313956935,-0.0330504288062702,0.55,0.249014956232147,0.1262158855,0.0046444648063307,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.37,0.110447889789872,-0.0286136288952538,0.55,0.249258000201922,0.1262158855,0.00269227821740941,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.38,0.115424135275759,-0.0239656124065603,0.55,0.249386520461338,0.1262158855,0.0012325531028738,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.39,0.120595428409272,-0.0191242403276984,0.55,0.2494352257627,0.1262158855,0.000317267805081214,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
1.4,0.125915589465284,-0.0141405336995954,0.55,0.2494423591,0.1262158855,0,0,0,0,-0.0005451135,-0.144664858,0,0,0,0
